offering_id,year,province_slug,major_slug,school_slug,school_name,school_type,training_site,eligible_major_categories,public_subjects,professional_subjects,plan_count,charter_url,syllabus_url,source_status,verified_at
hfnu-aiec-2026,2026,anhui,computer-science,hfnu,合肥师范学院,公办,安徽工业经济职业技术学院,电子与信息大类,高等数学|英语,C语言程序设计|数据结构,50,https://zsb.hfnu.edu.cn/info/1003/3665.htm,https://zsb.hfnu.edu.cn/__local/7/D9/69/9D7365B29678864C75F6353DB89_9B196186_22CB2.pdf,正式章程,2026-08-13
hfnu-mtc-2026,2026,anhui,computer-science,hfnu,合肥师范学院,公办,马鞍山师范高等专科学校,电子与信息大类,高等数学|英语,C语言程序设计|数据结构,50,https://zsb.hfnu.edu.cn/info/1003/3665.htm,https://zsb.hfnu.edu.cn/__local/7/D9/69/9D7365B29678864C75F6353DB89_9B196186_22CB2.pdf,正式章程,2026-08-13
aiit-2026,2026,anhui,computer-science,aiit,安徽信息工程学院,民办,安徽信息工程学院校本部,电子与信息大类等（详见章程）,高等数学|英语,计算机专业基础|C语言程序设计,100,https://zsxx.aiit.edu.cn/info/182584,https://zsxx.aiit.edu.cn/uploads/585/file/public/202511/20251112103625_de4bo7quiq.pdf,正式章程,2026-08-13
wenda-2026,2026,anhui,computer-science,wenda,安徽文达信息工程学院,民办,安徽文达信息工程学院校本部,多个专业大类（详见章程）,高等数学|英语,C语言程序设计|计算机网络基础,180,https://www.wenda.edu.cn/zs/m/display_34104.html,https://www.wenda.edu.cn/zs/display_34105.html,正式章程,2026-08-13
bbc-2026,2026,anhui,computer-science,bbc,蚌埠学院,公办,安徽电子信息职业技术学院（安徽省蚌埠市龙子湖区曹山路1000号）,电子与信息大类、装备制造大类,高等数学|英语,计算机专业基础|C语言程序设计,40,https://zhaoban.bbc.edu.cn/2026/0318/c1269a125714/page.htm,https://zhaoban.bbc.edu.cn/_upload/article/files/54/14/5f899cd247438281d1ff2c2ba381/143ba54a-3ca6-4163-8596-6bd7117ec2b8.pdf,正式章程与官方考纲,2026-09-15
axhu-2026,2026,anhui,computer-science,axhu,安徽新华学院,民办,安徽新华学院校本部（安徽省合肥市高新区望江西路555号）,财经商贸大类、医药卫生大类、电子与信息大类、教育与体育大类、装备制造大类、土木建筑大类、交通运输大类、文化艺术大类、旅游大类、公安与司法大类、公共管理与服务大类、食品药品与粮食大类、新闻传播大类、农林牧渔大类、水利大类、能源动力与材料大类、轻工纺织大类、资源环境与安全大类、生物与化工大类,高等数学|英语,计算机专业基础|C语言程序设计,320,https://zhaosheng.axhu.edu.cn/upload/2026/3/1818192298.pdf,https://zhaosheng.axhu.edu.cn/contents/2685/257592.html,正式章程与官方考纲,2026-09-15
slu-2026,2026,anhui,computer-science,slu,安徽三联学院,民办,安徽三联学院校本部（安徽省合肥市经济技术开发区合安路47号）,财经商贸大类、医药卫生大类、电子与信息大类、教育与体育大类、装备制造大类、土木建筑大类、交通运输大类、文化艺术大类、旅游大类、公安与司法大类、公共管理与服务大类、食品药品与粮食大类、新闻传播大类、农林牧渔大类、水利大类、能源动力与材料大类、轻工纺织大类、资源环境与安全大类、生物与化工大类,高等数学|英语,计算机专业基础|C语言程序设计,360,https://zsb.slu.edu.cn/2026/0312/c462a56211/page.htm,https://zsb.slu.edu.cn/2025/1104/c462a54468/page.htm,正式章程与官方考纲,2026-09-15
hfue-computer-2026,2026,anhui,computer-science,hfue,合肥经济学院,民办,软件工程、计算机科学与技术：合肥经济学院（章程列示高教基地校区、新桥校区，具体培养校区以学校安排为准）,电子与信息大类、农林牧渔大类、资源环境与安全大类、能源动力与材料大类、土木建筑大类、水利大类、装备制造大类、生物与化工大类、轻工纺织大类、食品药品与粮食大类、交通运输大类、医药卫生大类、财经商贸大类、旅游大类、新闻传播大类、教育与体育大类、公安与司法大类、公共管理与服务大类、文化艺术大类,高等数学|英语,计算机专业基础|C语言程序设计,450,https://www.hfue.edu.cn/zsw/col285/62114,https://www.hfue.edu.cn/zsw/col295/56469,2026正式章程与官方考纲,2026-09-19
masu-computer-2026,2026,anhui,computer-science,masu,马鞍山学院,民办,计算机科学与技术、软件工程：马鞍山学院校本部（安徽省马鞍山市当涂县姑孰镇黄池路8号）,电子与信息大类,高等数学|英语,C语言程序设计|计算机专业基础,320,https://zs.masu.edu.cn/2026/0318/c168a75656/page.htm,https://zs.masu.edu.cn/2025/1029/c167a71330/page.htm,2026正式章程与官方考纲,2026-09-19
hnnu-network-2026,2026,anhui,computer-science,hnnu,淮南师范学院,公办,网络工程：淮南师范学院（泉山校区/朝阳校区，具体培养校区以学校安排为准）,电子与信息大类、交通运输大类、能源动力与材料大类、生物与化工大类、食品药品与粮食大类、水利大类、土木建筑大类、装备制造大类、资源环境与安全大类,高等数学|英语,计算机专业基础|C程序设计,100,https://zsb.hnnu.edu.cn/2026/0319/c4552a166809/page.htm,https://zsb.hnnu.edu.cn/2026/0319/c4552a166809/page.htm,2026正式章程与官方考纲,2026-09-19
hnnu-cs-huuc-2026,2026,anhui,computer-science,hnnu,淮南师范学院,公办,计算机科学与技术：淮南联合大学（安徽省淮南市田家庵区洞山西路）,电子与信息大类、交通运输大类、能源动力与材料大类、生物与化工大类、食品药品与粮食大类、水利大类、土木建筑大类、装备制造大类、资源环境与安全大类,高等数学|英语,计算机专业基础|C程序设计,50,https://zsb.hnnu.edu.cn/2026/0319/c4552a166809/page.htm,https://zsb.hnnu.edu.cn/2026/0319/c4552a166809/page.htm,2026正式章程与官方考纲,2026-09-19
hblg-cs-2026,2026,anhui,computer-science,hblg,淮北理工学院,民办,计算机科学与技术：淮北理工学院校本部（安徽省淮北市杜集区高岳街道青年路8号）,农林牧渔大类、资源环境与安全大类、能源动力与材料大类、土木建筑大类、水利大类、装备制造大类、生物与化工大类、轻工纺织大类、食品药品与粮食大类、交通运输大类、电子与信息大类、医药卫生大类、财经商贸大类、旅游大类、文化艺术大类、新闻传播大类、教育与体育大类、公安与司法大类、公共管理与服务大类,高等数学|英语,计算机专业基础|C语言程序设计,120,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,2026正式章程与官方考纲,2026-09-20
hblg-ai-2026,2026,anhui,computer-science,hblg,淮北理工学院,民办,人工智能：淮北理工学院校本部（安徽省淮北市杜集区高岳街道青年路8号）,农林牧渔大类、资源环境与安全大类、能源动力与材料大类、土木建筑大类、水利大类、装备制造大类、生物与化工大类、轻工纺织大类、食品药品与粮食大类、交通运输大类、电子与信息大类、医药卫生大类、财经商贸大类、旅游大类、文化艺术大类、新闻传播大类、教育与体育大类、公安与司法大类、公共管理与服务大类,高等数学|英语,计算机专业基础|C语言程序设计,120,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,2026正式章程与官方考纲,2026-09-20
hblg-data-2026,2026,anhui,computer-science,hblg,淮北理工学院,民办,数据科学与大数据技术：淮北理工学院校本部（安徽省淮北市杜集区高岳街道青年路8号）,农林牧渔大类、资源环境与安全大类、能源动力与材料大类、土木建筑大类、水利大类、装备制造大类、生物与化工大类、轻工纺织大类、食品药品与粮食大类、交通运输大类、电子与信息大类、医药卫生大类、财经商贸大类、旅游大类、文化艺术大类、新闻传播大类、教育与体育大类、公安与司法大类、公共管理与服务大类,高等数学|英语,计算机专业基础|C语言程序设计,120,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,https://zsb.hblgxy.edu.cn/info/1020/2361.htm,2026正式章程与官方考纲,2026-09-20
wjut-cs-2026,2026,anhui,computer-science,wjut,皖江工学院,民办,计算机科学与技术：皖江工学院（霍里山大道333号、郑蒲港新区河海中路666号；具体培养校区以学校安排为准）,电子与信息大类、财经商贸大类、土木建筑大类、装备制造大类、交通运输大类、生物与化工大类、教育与体育大类、公共管理与服务大类、文化艺术大类、旅游大类、新闻传播大类、农林牧渔大类、食品药品与粮食大类、公安与司法大类,高等数学|英语,C语言程序设计|数据库技术与应用,80,https://www.wjut.edu.cn/zhao-sheng-zhuan-ti/zhao-sheng-zhang-cheng/pageinfo1000010000026232.html,https://www.wjut.edu.cn/zhao-sheng-zhuan-ti/zhao-sheng-kuai-xun/pageinfo1000010000025763.html,2026正式章程与官方考纲,2026-09-20
fyut-cs-2026,2026,anhui,computer-science,fyut,阜阳理工学院,民办,计算机科学与技术：阜阳理工学院校本部（安徽省阜阳市颍州区阜临路169号）,电子与信息大类,高等数学|英语,计算机专业基础|C语言程序设计,90,https://fyut.edu.cn/c/zsw/ZSJZ/41558.jhtml,https://fyut.edu.cn/u/cms/zsw/202603/18181621okxh.zip,2026正式章程与官方考纲,2026-09-20
ahjzu-cs-2026,2026,anhui,computer-science,ahjzu,安徽建筑大学,公办,计算机科学与技术：安徽城市管理职业学院（安徽省合肥市新站区淮海大道300号）,电子与信息大类、装备制造大类,高等数学|英语,计算机专业基础|C语言程序设计,60,https://www.ahjzu.edu.cn/zsw/2026/0204/c2390a263781/page.htm,https://www.ahjzu.edu.cn/_upload/article/files/6f/84/3e9dfa6d499a97167aaece606f6b/cf2e1b8f-26d3-45d9-9296-e6356d16bf62.pdf,2026正式章程与官方考纲,2026-09-20
hfuu-cs-2026,2026,anhui,computer-science,hfuu,合肥大学,公办,计算机科学与技术：合肥大学（安徽省合肥市经济技术开发区锦绣大道99号、158号）,电子与信息大类,高等数学|英语,计算机专业基础|C语言程序设计,50,https://www.hfuu.edu.cn/zs/5d/08/c12151a154888/page.htm,https://www.hfuu.edu.cn/zs/59/f7/c3032a154103/page.htm,2026正式章程与官方考纲,2026-09-20
tlu-digital-media-2026,2026,anhui,computer-science,tlu,铜陵学院,公办,数字媒体技术：铜陵职业技术学院（安徽省铜陵市铜官区翠湖四路2689号）,电子与信息大类、文化艺术大类、新闻传播大类,高等数学|英语,多媒体技术基础|C语言程序设计,30,https://zsb.tlu.edu.cn/2026/0319/c1751a126213/page.htm,https://zsb.tlu.edu.cn/_upload/article/files/27/af/27d9464d4a5986457707170fa3ec/94f5c5a3-fc1c-4051-bbc9-511012319951.pdf,2026正式章程与官方考纲,2026-09-21
ahut-cs-2026,2026,anhui,computer-science,ahut,安徽工业大学,公办,计算机科学与技术：安徽机电职业技术学院（安徽省芜湖市弋江区高教园区文津西路16号）,装备制造大类、电子与信息大类,高等数学|英语,计算机科学导论|C程序设计,50,https://zs.ahut.edu.cn/info/6056/3024.htm,https://zs.ahut.edu.cn/__local/A/6F/9B/CAB8096D8BC7B704234C98ECD94_F6716DD8_B8464.pdf,2026正式章程与官方考纲,2026-09-22
ahut-iot-2026,2026,anhui,computer-science,ahut,安徽工业大学,公办,物联网工程：合肥职业技术学院汇心湖校区（安徽省合肥市新站区岱河路2号）,装备制造大类、交通运输大类、电子与信息大类,高等数学|英语,计算机科学导论|C程序设计,40,https://zs.ahut.edu.cn/info/6056/3024.htm,https://zs.ahut.edu.cn/__local/A/6F/9B/CAB8096D8BC7B704234C98ECD94_F6716DD8_B8464.pdf,2026正式章程与官方考纲,2026-09-22
auta-network-engineering-2026,2026,anhui,computer-science,auta,安徽职业技术大学,公办,网络工程技术：校本部（安徽省合肥市新站区文忠路2600号）,装备制造大类、电子与信息大类,高等数学|英语,计算机基础|C语言,100,https://www.uta.edu.cn/zsw/2026/0319/c3241a168582/page.htm,https://www.uta.edu.cn/_upload/article/files/11/31/f81ff640420fbcd3c42313f10970/1f7e4553-78c3-459b-9057-e94bfcc905f8.pdf,2026正式章程与官方考纲,2026-09-23
uwh-cs-2026,2026,anhui,computer-science,uwh,芜湖学院,民办,计算机科学与技术：芜湖学院校本部（安徽省芜湖市鸠江区苏州路66号）,农林牧渔大类、资源环境与安全大类、能源动力与材料大类、土木建筑大类、水利大类、装备制造大类、生物与化工大类、轻工纺织大类、食品药品与粮食大类、交通运输大类、电子与信息大类、医药卫生大类、财经商贸大类、旅游大类、文化艺术大类、新闻传播大类、教育与体育大类、公安与司法大类、公共管理与服务大类,高等数学|英语,计算机专业基础|C语言程序设计,100,https://www.uwh.edu.cn/zsw/detail/434/15349.html,https://www.uwh.edu.cn/uploads/article/20251122/640a1d9bf2ac5aeec239bd28a3dd5a2d.pdf,2026正式章程与官方考纲,2026-09-26
