year,province_slug,major_slug,school_slug,subject_slug,section_order,section_name,point_order,point_id,point_title,canonical_topic
2026,anhui,computer-science,aiit,c-language,1,C语言基础,1,aiit-c-basic,数据类型、变量与表达式,c-language-basic
2026,anhui,computer-science,aiit,c-language,1,C语言基础,2,aiit-c-control,分支与循环结构,c-language-control
2026,anhui,computer-science,aiit,c-language,2,数组与函数,1,aiit-c-array,数组、函数与字符串,c-language-array
2026,anhui,computer-science,aiit,c-language,2,数组与函数,2,aiit-c-pointer,指针与结构体,c-language-pointer
2026,anhui,computer-science,aiit,computer-basics,1,计算机基础知识,1,aiit-cs-system,计算机系统组成与信息表示,computer-basics
2026,anhui,computer-science,aiit,computer-basics,2,操作系统与办公应用,1,aiit-cs-os,Windows与文件管理,computer-basics
2026,anhui,computer-science,aiit,computer-basics,2,操作系统与办公应用,2,aiit-cs-office,Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,aiit,computer-basics,3,网络基础,1,aiit-cs-network,局域网与Internet基础,network-basic
2026,anhui,computer-science,axhu,c-language,1,C语言基础,1,axhu-c-basic,程序结构、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,axhu,c-language,1,C语言基础,2,axhu-c-control,顺序、选择与循环结构,c-language-control
2026,anhui,computer-science,axhu,c-language,2,复合程序设计,1,axhu-c-array,数组与字符串,c-language-array
2026,anhui,computer-science,axhu,c-language,2,复合程序设计,2,axhu-c-pointer,函数、指针与结构体,c-language-pointer
2026,anhui,computer-science,axhu,computer-basics,1,计算机基础,1,axhu-cs-system,计算机系统组成、信息表示与安全,computer-basics
2026,anhui,computer-science,axhu,computer-basics,2,操作系统与办公软件,1,axhu-cs-office,Windows 10、Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,axhu,computer-basics,3,网络与数据库,1,axhu-cs-network,计算机网络与Internet基础,network-basic
2026,anhui,computer-science,bbc,c-language,1,C语言基础,1,bbc-c-basic,程序结构、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,bbc,c-language,1,C语言基础,2,bbc-c-control,选择、循环与结构化程序设计,c-language-control
2026,anhui,computer-science,bbc,c-language,2,复合程序设计,1,bbc-c-array,一维数组、二维数组与字符数组,c-language-array
2026,anhui,computer-science,bbc,c-language,2,复合程序设计,2,bbc-c-pointer,函数、指针与结构体,c-language-pointer
2026,anhui,computer-science,bbc,computer-basics,1,计算机基础,1,bbc-cs-system,计算机系统组成、信息表示与安全,computer-basics
2026,anhui,computer-science,bbc,computer-basics,2,操作系统与办公软件,1,bbc-cs-office,Windows、Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,bbc,computer-basics,3,网络基础,1,bbc-cs-network,局域网与Internet基础应用,network-basic
2026,anhui,computer-science,common,advanced-math,1,函数与极限,1,math-function,函数、定义域与基本性质,math-function
2026,anhui,computer-science,common,advanced-math,1,函数与极限,2,math-limit,数列极限与函数极限,math-limit
2026,anhui,computer-science,common,advanced-math,2,一元函数微分学,1,math-derivative,导数与微分,math-derivative
2026,anhui,computer-science,common,advanced-math,2,一元函数微分学,2,math-derivative-app,导数的应用,math-derivative
2026,anhui,computer-science,common,advanced-math,3,一元函数积分学,1,math-integral,不定积分与定积分,math-integral
2026,anhui,computer-science,common,english,1,词汇与语法,1,english-vocab,高频词汇与固定搭配,english-vocabulary
2026,anhui,computer-science,common,english,1,词汇与语法,2,english-grammar,时态、从句与非谓语,english-grammar
2026,anhui,computer-science,common,english,2,阅读与写作,1,english-reading,阅读理解方法,english-reading
2026,anhui,computer-science,common,english,2,阅读与写作,2,english-writing,应用文与短文写作,english-writing
2026,anhui,computer-science,fyut,c-language,1,C语言基础,1,fyut-c-basic,程序结构、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,fyut,c-language,1,C语言基础,2,fyut-c-control,顺序、选择与循环结构,c-language-control
2026,anhui,computer-science,fyut,c-language,2,复合程序设计,1,fyut-c-array,数组、字符串与函数,c-language-array
2026,anhui,computer-science,fyut,c-language,2,复合程序设计,2,fyut-c-pointer,指针、结构体与文件,c-language-pointer
2026,anhui,computer-science,fyut,computer-basics,1,计算机系统,1,fyut-cs-system,硬件系统、数据表示与软件系统,computer-basics
2026,anhui,computer-science,fyut,computer-basics,2,操作系统与应用,1,fyut-cs-office,操作系统、文件管理与办公应用,computer-office
2026,anhui,computer-science,fyut,computer-basics,3,网络与多媒体,1,fyut-cs-network,计算机网络、Internet、Web与多媒体,network-basic
2026,anhui,computer-science,fyut,computer-basics,4,数据与新技术,1,fyut-cs-data,信息系统、数据库、云计算、大数据与安全,computer-basics
2026,anhui,computer-science,hblg,c-language,1,C语言基础,1,hblg-c-basic,数据类型、运算、输入与输出,c-language-basic
2026,anhui,computer-science,hblg,c-language,1,C语言基础,2,hblg-c-control,顺序、选择与循环结构,c-language-control
2026,anhui,computer-science,hblg,c-language,2,复合程序设计,1,hblg-c-array,数组、字符串与函数,c-language-array
2026,anhui,computer-science,hblg,c-language,2,复合程序设计,2,hblg-c-pointer,指针、结构体、联合体与枚举,c-language-pointer
2026,anhui,computer-science,hblg,computer-basics,1,信息与计算机系统,1,hblg-cs-system,信息表示、数制编码与计算机安全,computer-basics
2026,anhui,computer-science,hblg,computer-basics,1,信息与计算机系统,2,hblg-cs-hardware,计算机硬件、软件与程序设计语言,computer-basics
2026,anhui,computer-science,hblg,computer-basics,2,操作系统与办公应用,1,hblg-cs-os,操作系统、文件与文件夹管理,computer-basics
2026,anhui,computer-science,hblg,computer-basics,2,操作系统与办公应用,2,hblg-cs-office,Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,hblg,computer-basics,3,网络与Internet,1,hblg-cs-network,计算机网络、Internet与电子邮件,network-basic
2026,anhui,computer-science,hfnu,c-language,1,C语言基础,1,hfnu-c-basic,数据类型、变量与表达式,c-language-basic
2026,anhui,computer-science,hfnu,c-language,1,C语言基础,2,hfnu-c-control,分支与循环结构,c-language-control
